student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1398,Saanvi,12,81.7,52.3,57.0,60.6,226.6,48.4
S1399,Chitra,6,51.4,60.7,45.7,46.1,189.7,50.7
S1400,Suresh,10,64.9,66.6,82.2,70.3,335.4,67.1
S1401,Krishna,9,69.0,77.7,36.3,53.5,317.9,52.1
S1402,Vishal,10,76.8,49.7,27.4,43.5,259.9,45.2
S1403,Neha,8,59.2,36.2,85.4,62.0,116.3,44.1
S1404,Siddharth,9,68.8,100.0,97.8,91.7,155.6,68.2
S1405,Ishita,8,70.4,44.6,50.8,55.0,127.4,48.6
S1406,Meera,6,60.1,80.1,59.1,61.8,17.7,51.3
S1407,Rohan,6,59.8,65.6,37.1,61.9,333.5,56.6
S1408,Anjali,9,71.4,69.5,60.1,61.1,190.5,46.5
S1409,Meera,9,68.2,65.0,50.5,54.6,189.5,43.8
S1410,Gopal,11,77.0,58.1,58.0,70.8,354.6,41.3
S1411,Diya,10,55.3,73.4,68.2,64.0,177.2,59.6
S1412,Lakshmi,11,65.1,57.1,38.0,62.3,144.4,52.7
S1413,Aditya,10,66.8,86.0,52.8,56.2,199.8,65.4
S1414,Nikhil,11,81.4,75.2,23.9,56.8,118.1,50.9
S1415,Pooja,8,56.8,75.8,52.9,61.6,251.0,53.9
S1416,Vivaan,9,73.3,55.9,58.1,66.8,186.4,59.2
S1417,Aadhya,6,73.5,60.7,64.6,72.5,174.3,55.1
S1418,Vivaan,10,93.0,43.6,64.8,72.2,166.5,52.2
S1419,Ananya,10,55.9,58.6,78.1,63.3,210.4,64.4
S1420,Shruti,6,60.8,46.3,29.2,46.2,227.5,57.8
S1421,Pooja,11,56.9,88.6,30.3,69.3,173.2,53.2
S1422,Sanjay,10,46.6,65.9,70.6,51.8,187.7,48.7
S1423,Ananya,12,94.7,68.1,19.2,70.0,212.7,65.3
S1424,Gopal,8,52.6,60.9,63.7,52.0,203.6,38.6
S1425,Sai,9,58.6,68.6,36.4,59.2,222.8,66.9
S1426,Manish,6,88.4,100.0,91.5,86.4,159.1,61.4
S1427,Shruti,9,45.5,59.6,65.0,59.0,310.4,44.8
S1428,Harini,12,80.6,53.3,55.6,66.8,228.7,61.4
S1429,Rahul,10,50.2,74.5,84.6,76.6,174.7,66.5
S1430,Sneha,10,87.5,19.5,38.7,53.2,251.0,62.6
S1431,Arjun,12,39.6,66.2,42.5,50.9,213.3,28.7
S1432,Meera,6,45.5,58.3,34.8,42.0,64.0,38.5
S1433,Shruti,8,62.4,47.1,42.7,51.2,250.7,49.2
S1434,Deepak,7,83.6,74.1,61.2,75.8,128.2,63.8
S1435,Sanjay,6,69.6,66.0,69.9,59.4,304.1,62.6
S1436,Diya,7,65.3,32.6,79.2,50.5,198.2,35.6
S1437,Sanjay,12,88.8,53.4,23.5,65.5,290.2,61.5
S1438,Ishita,11,100.0,13.0,56.6,62.2,163.3,64.0
S1439,Sneha,7,79.4,70.3,37.8,62.7,226.3,67.2
S1440,Chitra,8,61.3,70.1,55.9,58.2,328.9,56.2
S1441,Meera,11,64.1,50.7,100.0,64.9,195.8,50.4
S1442,Lakshmi,7,52.0,74.7,65.8,62.9,166.8,49.5
S1443,Shruti,12,71.4,41.9,78.0,66.9,279.0,62.1
S1444,Vivaan,11,47.2,47.6,99.2,47.8,277.2,42.8
S1445,Sanjay,12,77.7,72.5,82.5,85.8,170.6,57.9
S1446,Aditya,7,98.1,52.6,51.0,80.7,41.3,58.1
S1447,Ananya,12,80.0,63.9,34.5,49.8,165.1,44.9
S1448,Sai,8,63.4,54.9,59.4,66.4,281.0,66.5
S1449,Pooja,7,77.4,57.6,48.6,70.6,150.2,66.2
S1450,Sai,7,92.7,58.4,29.5,66.6,219.0,65.3
S1451,Vivaan,7,92.0,52.3,64.8,65.5,160.8,60.1
S1452,Sneha,6,55.9,70.4,65.3,68.7,46.1,46.3
S1453,Divya,6,77.1,53.7,95.4,73.2,159.2,68.6
S1454,Rekha,6,67.8,65.3,52.8,66.6,280.6,73.5
S1455,Lakshmi,8,81.3,51.9,65.6,81.9,6.7,56.0
S1456,Kavya,11,75.4,37.4,46.7,58.3,242.7,63.5
S1457,Chitra,12,36.8,81.4,77.5,54.9,113.3,42.8
S1458,Gopal,10,65.1,74.0,57.5,63.9,274.8,56.0
S1459,Vikas,7,72.8,100.0,36.5,67.2,284.3,77.7
S1460,Shruti,12,49.9,46.2,59.7,53.9,204.5,43.7
S1461,Harini,7,78.1,61.2,67.8,65.6,204.7,62.6
S1462,Vishal,8,48.7,62.7,65.1,54.1,147.4,46.8
S1463,Ananya,7,58.8,82.8,80.9,63.8,98.9,40.6
S1464,Manish,6,88.8,55.9,31.0,63.7,372.8,68.3
S1465,Diya,10,57.6,43.9,43.1,51.0,142.1,40.2
S1466,Siddharth,9,78.0,86.7,72.8,63.2,361.1,54.7
S1467,Aadhya,7,45.4,59.3,45.5,51.2,142.6,38.1
S1468,Diya,12,99.1,80.8,64.8,84.8,267.3,73.2
S1469,Chitra,6,65.7,78.7,11.6,51.5,117.6,61.2
S1470,Aarav,9,71.3,64.5,100.0,88.6,267.1,56.3
S1471,Vishal,10,72.5,61.9,54.6,70.6,190.7,52.8
S1472,Aditya,9,78.5,58.0,83.9,67.1,191.9,62.0
S1473,Ishita,6,48.7,64.7,53.3,59.7,274.9,38.1
S1474,Rahul,11,69.9,80.5,68.3,80.2,177.8,57.8
S1475,Aryan,11,60.8,50.7,89.8,65.8,91.5,36.6
S1476,Sneha,9,46.3,67.0,83.3,63.9,288.5,56.7
S1477,Siddharth,8,83.8,44.9,55.9,67.2,116.9,56.6
S1478,Rekha,12,65.1,47.1,57.3,45.2,266.5,48.7
S1479,Krishna,12,73.4,64.4,80.1,71.3,307.6,69.3
S1480,Kavya,9,72.5,29.7,100.0,65.1,186.2,47.1
S1481,Sneha,7,65.3,100.0,63.8,83.9,326.4,65.1
S1482,Shruti,7,97.7,43.5,99.1,83.8,263.4,62.5
S1483,Vihaan,12,69.3,64.3,55.2,62.5,157.4,47.2
S1484,Saanvi,12,48.2,86.0,79.0,66.7,346.1,47.3
S1485,Rekha,11,64.4,49.5,82.0,70.5,117.2,48.8
S1486,Kavya,8,77.0,23.6,51.8,53.6,186.1,47.7
S1487,Akash,6,77.5,57.0,45.1,59.0,201.4,60.0
S1488,Neha,7,54.8,49.3,82.9,58.5,274.5,41.4
S1489,Lakshmi,12,83.0,24.0,49.4,62.5,320.4,60.3
S1490,Sai,11,45.3,70.1,42.1,54.9,314.8,51.5
S1491,Sai,10,86.0,68.7,46.3,71.2,240.1,62.8
S1492,Priya,11,51.5,85.6,49.3,62.3,194.8,45.8
S1493,Priya,7,66.8,44.8,77.1,59.4,55.7,49.9
S1494,Vishal,7,84.9,36.2,70.3,65.5,101.7,55.8
S1495,Aryan,11,71.7,57.7,74.3,64.2,379.0,61.4
S1496,Manish,6,81.4,63.4,68.4,71.0,54.8,73.3
S1497,Ishita,9,78.7,81.6,48.1,80.0,149.4,66.7
S1498,Aarav,7,88.0,90.4,73.9,78.7,323.0,68.7
S1499,Arjun,11,84.9,86.9,83.6,81.0,238.9,64.1
S1500,Chitra,12,63.6,70.0,71.7,60.0,303.5,49.2
S1501,Kartik,11,78.9,79.4,69.0,67.7,268.9,53.2
S1502,Kavya,8,48.6,53.5,44.7,48.0,352.3,52.8
S1503,Akash,9,69.2,68.0,64.2,63.9,246.6,40.1
S1504,Siddharth,10,81.5,43.6,43.6,71.2,279.7,65.5
S1505,Suresh,6,71.9,66.1,59.5,65.4,154.8,50.6
S1506,Vikas,10,76.3,66.6,27.2,68.8,272.8,58.1
S1507,Saanvi,9,67.0,96.0,27.3,71.6,184.3,55.0
S1508,Aarav,9,85.8,60.9,56.2,69.7,179.2,75.4
S1509,Arjun,9,68.9,66.6,49.0,75.9,300.5,61.7
S1510,Chitra,10,63.5,69.3,62.1,66.5,301.1,63.7
S1511,Priya,12,82.4,56.8,57.3,77.5,372.0,77.5
S1512,Vivaan,9,50.3,50.6,60.6,61.3,366.1,50.5
S1513,Vivaan,11,77.0,88.4,72.2,81.7,302.6,60.0
S1514,Vikas,10,55.4,47.3,50.7,56.3,65.2,42.7
S1515,Saanvi,9,87.9,41.1,55.6,69.5,384.5,59.2
S1516,Diya,11,66.3,77.2,89.1,68.4,302.6,56.3
S1517,Manish,12,71.9,85.8,60.1,73.5,151.1,61.8
S1518,Suresh,8,75.8,56.9,56.4,71.7,285.6,60.5
S1519,Rekha,12,43.0,57.2,61.7,61.1,126.6,46.4
S1520,Lakshmi,9,60.9,70.1,56.8,58.3,275.7,58.5
S1521,Divya,10,84.6,52.3,45.8,68.4,101.5,59.4
S1522,Neha,7,82.1,50.9,40.0,63.2,147.3,62.0
S1523,Rohan,9,74.0,80.8,44.7,68.0,283.9,59.0
S1524,Krishna,7,51.1,75.9,77.5,67.3,316.6,64.4
S1525,Divya,11,78.2,88.6,47.4,74.9,249.3,62.9
S1526,Akash,8,80.0,42.5,56.9,66.2,194.2,67.7
S1527,Arjun,6,70.7,56.0,74.0,75.7,29.7,44.3
S1528,Vikas,12,87.1,70.1,54.4,78.5,201.2,65.3
S1529,Meera,8,60.4,48.3,72.7,61.7,268.0,48.7
S1530,Siddharth,9,62.9,76.6,29.2,69.7,191.5,59.5
S1531,Siddharth,7,35.2,87.0,57.3,63.0,218.0,53.4
S1532,Deepak,12,82.9,54.5,61.6,68.5,203.3,51.8
S1533,Suresh,7,74.4,65.7,60.5,61.0,191.0,49.2
S1534,Arjun,10,46.5,91.2,26.9,49.1,226.8,37.1
S1535,Deepak,7,45.4,97.4,84.1,76.3,195.5,65.6
S1536,Lakshmi,10,57.8,78.4,42.9,56.5,349.9,57.2
S1537,Arjun,11,81.1,75.7,66.7,69.8,21.4,52.9
S1538,Harini,12,65.8,49.6,60.2,55.0,170.9,46.8
S1539,Deepak,12,58.7,71.5,80.1,63.8,141.7,62.0
S1540,Deepak,6,55.9,75.0,100.0,77.8,239.7,54.8
S1541,Sai,9,55.3,61.2,34.2,50.9,226.9,45.1
S1542,Meera,10,42.9,54.3,47.0,39.1,366.0,34.9
S1543,Lakshmi,6,53.1,41.9,63.8,52.6,395.6,39.1
S1544,Diya,7,55.0,33.7,37.9,45.7,150.4,50.5
S1545,Suresh,7,79.6,29.9,75.6,60.8,220.0,68.6
S1546,Neha,6,67.7,75.4,76.9,79.2,237.7,54.3
S1547,Ishita,12,58.4,67.7,71.2,61.9,148.2,62.7
S1548,Lakshmi,7,100.0,56.3,64.7,84.7,276.6,70.3
S1549,Vivaan,11,60.7,59.0,87.4,70.5,198.4,58.3
S1550,Sanjay,11,86.3,68.8,36.9,74.3,123.9,76.8
S1551,Kavya,6,92.7,62.0,61.3,69.1,194.8,65.7
S1552,Sanjay,10,48.0,40.9,45.2,45.8,130.2,36.3
S1553,Manish,10,71.0,81.4,77.8,75.5,313.3,71.1
S1554,Aditya,6,62.8,70.5,23.3,46.7,391.1,45.0
S1555,Nikhil,10,61.6,69.8,59.4,70.2,242.0,65.9
S1556,Vikas,12,77.8,80.1,66.7,70.8,230.0,65.8
S1557,Saanvi,12,61.3,50.4,41.1,49.3,233.7,43.7
S1558,Rohan,10,63.1,86.8,47.5,60.2,326.4,53.9
S1559,Ishita,11,67.6,62.5,60.3,68.5,324.5,47.9
S1560,Aarav,10,64.8,81.0,79.1,64.1,209.6,53.3
S1561,Aditya,12,53.6,78.2,39.3,61.1,242.7,50.4
S1562,Kavya,8,81.1,46.3,42.8,67.4,278.7,52.4
S1563,Sneha,9,84.7,74.1,82.5,84.2,117.6,67.6
S1564,Lakshmi,7,74.8,70.9,54.5,72.8,329.1,68.0
S1565,Vikas,8,64.7,65.5,44.4,64.5,376.1,56.4
S1566,Harini,10,60.1,63.3,74.6,59.0,324.9,59.0
S1567,Vihaan,11,60.1,63.5,50.2,67.3,107.9,45.7
S1568,Aarav,6,100.0,79.6,80.5,86.3,42.7,82.2
S1569,Saanvi,10,83.1,75.4,46.7,71.3,283.8,68.1
S1570,Sneha,11,58.2,65.5,56.8,58.1,151.6,62.5
S1571,Pooja,9,72.3,38.1,78.9,66.7,245.8,74.7
S1572,Rahul,10,64.9,73.9,55.5,62.0,358.2,54.8
S1573,Pooja,12,78.2,78.0,75.1,77.8,160.9,61.7
S1574,Rahul,6,77.6,100.0,58.7,72.2,186.0,65.2
S1575,Nikhil,11,85.2,84.4,99.6,95.5,244.9,79.5
S1576,Aadhya,11,58.1,30.8,91.4,62.3,103.2,55.8
S1577,Krishna,11,71.5,66.4,33.4,58.7,151.8,50.5
S1578,Ritika,9,45.5,97.6,70.4,64.6,222.2,55.7
S1579,Deepak,10,52.4,76.2,43.7,61.2,193.0,49.8
S1580,Aarav,9,82.4,70.9,63.8,70.1,274.8,70.6
S1581,Rohan,7,56.7,81.2,61.4,66.0,468.9,71.2
S1582,Saanvi,7,58.2,53.8,38.9,59.0,228.9,48.0
S1583,Rekha,10,69.9,73.6,81.2,69.0,144.2,45.3
S1584,Vikas,12,79.7,60.5,64.1,72.3,347.6,70.8
S1585,Aditya,9,55.1,64.6,54.3,59.7,77.0,41.3
S1586,Manish,6,21.3,79.9,51.2,45.8,95.0,32.4
S1587,Deepak,11,57.8,48.3,62.8,53.2,166.4,52.7
S1588,Vishal,11,86.9,88.2,68.2,89.9,194.5,76.1
S1589,Pooja,10,74.8,57.4,57.5,61.7,164.3,55.9
S1590,Sai,12,88.5,69.7,3.3,50.7,217.2,57.6
S1591,Neha,7,54.2,39.8,60.3,55.2,244.7,22.3
S1592,Anjali,7,47.0,78.0,31.2,45.1,316.2,52.7
S1593,Gopal,11,76.5,91.0,55.8,79.8,228.2,66.0
S1594,Aditya,10,73.4,55.7,31.9,65.7,169.4,69.1
S1595,Krishna,9,74.3,45.0,31.7,58.6,311.3,59.5
S1596,Krishna,7,83.1,70.0,84.7,86.0,146.4,63.3
S1597,Pooja,9,75.9,91.2,53.6,87.0,73.1,75.6
S1598,Aadhya,12,75.7,38.9,52.1,64.5,328.5,66.9
S1599,Vivaan,7,80.0,45.1,69.7,68.9,322.8,59.6
